<K2400:Voltage>	<Time:Elapsed>	<setpoint1:Value>	<setpoint1:Count>	<SMU:Channel1:Current>	<SMU:Channel1:Voltage>	<TIC:In 4>
4.000000E+1	9.851568E+3	4.000000E+1	4.000000E+1	1.187400E-3	2.200000E+1	1.999910E+2
4.000000E+1	9.892109E+3	4.000000E+1	4.000000E+1	1.238630E-3	2.300000E+1	2.000030E+2
4.000000E+1	9.930608E+3	4.000000E+1	4.000000E+1	1.289080E-3	2.400000E+1	2.000180E+2
4.100000E+1	1.001126E+4	4.100000E+1	4.100000E+1	1.083800E-3	2.000000E+1	1.999880E+2
4.100000E+1	1.005155E+4	4.100000E+1	4.100000E+1	1.136060E-3	2.100000E+1	1.999800E+2
4.100000E+1	1.009003E+4	4.100000E+1	4.100000E+1	1.187320E-3	2.200000E+1	1.999890E+2
4.100000E+1	1.013021E+4	4.100000E+1	4.100000E+1	1.238780E-3	2.300000E+1	2.000030E+2
4.100000E+1	1.017244E+4	4.100000E+1	4.100000E+1	1.289190E-3	2.400000E+1	2.000190E+2
4.200000E+1	1.025012E+4	4.200000E+1	4.200000E+1	1.083810E-3	2.000000E+1	1.999960E+2
4.200000E+1	1.029303E+4	4.200000E+1	4.200000E+1	1.135800E-3	2.100000E+1	1.999850E+2
4.200000E+1	1.033164E+4	4.200000E+1	4.200000E+1	1.186960E-3	2.200000E+1	1.999960E+2
4.200000E+1	1.037349E+4	4.200000E+1	4.200000E+1	1.238190E-3	2.300000E+1	2.000070E+2
4.200000E+1	1.041198E+4	4.200000E+1	4.200000E+1	1.288780E-3	2.400000E+1	2.000230E+2
4.300000E+1	1.049309E+4	4.300000E+1	4.300000E+1	1.083600E-3	2.000000E+1	1.999930E+2
4.300000E+1	1.053604E+4	4.300000E+1	4.300000E+1	1.135760E-3	2.100000E+1	1.999830E+2
4.300000E+1	1.057705E+4	4.300000E+1	4.300000E+1	1.187060E-3	2.200000E+1	1.999920E+2
4.300000E+1	1.061768E+4	4.300000E+1	4.300000E+1	1.237860E-3	2.300000E+1	2.000030E+2
4.300000E+1	1.065808E+4	4.300000E+1	4.300000E+1	1.288580E-3	2.400000E+1	2.000190E+2
4.400000E+1	1.073526E+4	4.400000E+1	4.400000E+1	1.083570E-3	2.000000E+1	1.999900E+2
4.400000E+1	1.077560E+4	4.400000E+1	4.400000E+1	1.135580E-3	2.100000E+1	1.999800E+2
4.400000E+1	1.081660E+4	4.400000E+1	4.400000E+1	1.186550E-3	2.200000E+1	1.999860E+2
4.400000E+1	1.085756E+4	4.400000E+1	4.400000E+1	1.237850E-3	2.300000E+1	2.000000E+2
4.400000E+1	1.089649E+4	4.400000E+1	4.400000E+1	1.288340E-3	2.400000E+1	2.000150E+2
4.500000E+1	1.097563E+4	4.500000E+1	4.500000E+1	1.082910E-3	2.000000E+1	1.999860E+2
4.500000E+1	1.101609E+4	4.500000E+1	4.500000E+1	1.135050E-3	2.100000E+1	1.999770E+2
4.500000E+1	1.105672E+4	4.500000E+1	4.500000E+1	1.186350E-3	2.200000E+1	1.999880E+2
4.500000E+1	1.109897E+4	4.500000E+1	4.500000E+1	1.237330E-3	2.300000E+1	2.000010E+2
4.500000E+1	1.113965E+4	4.500000E+1	4.500000E+1	1.287870E-3	2.400000E+1	2.000160E+2
4.600000E+1	1.121865E+4	4.600000E+1	4.600000E+1	1.082660E-3	2.000000E+1	1.999880E+2
4.600000E+1	1.125915E+4	4.600000E+1	4.600000E+1	1.134720E-3	2.100000E+1	1.999800E+2
4.600000E+1	1.130145E+4	4.600000E+1	4.600000E+1	1.186170E-3	2.200000E+1	1.999890E+2
4.600000E+1	1.134069E+4	4.600000E+1	4.600000E+1	1.237190E-3	2.300000E+1	2.000010E+2
4.600000E+1	1.138247E+4	4.600000E+1	4.600000E+1	1.287580E-3	2.400000E+1	2.000160E+2
4.700000E+1	1.145968E+4	4.700000E+1	4.700000E+1	1.082140E-3	2.000000E+1	1.999900E+2
4.700000E+1	1.150023E+4	4.700000E+1	4.700000E+1	1.134640E-3	2.100000E+1	1.999820E+2
4.700000E+1	1.154199E+4	4.700000E+1	4.700000E+1	1.185730E-3	2.200000E+1	1.999890E+2
4.700000E+1	1.158068E+4	4.700000E+1	4.700000E+1	1.237040E-3	2.300000E+1	2.000010E+2
4.700000E+1	1.162249E+4	4.700000E+1	4.700000E+1	1.287770E-3	2.400000E+1	2.000150E+2
4.800000E+1	1.170170E+4	4.800000E+1	4.800000E+1	1.082360E-3	2.000000E+1	1.999860E+2
4.800000E+1	1.174216E+4	4.800000E+1	4.800000E+1	1.134720E-3	2.100000E+1	1.999780E+2
4.800000E+1	1.178399E+4	4.800000E+1	4.800000E+1	1.185730E-3	2.200000E+1	1.999860E+2
