# lambda	calibration	sensitivity
4.094305000000020414e+02 1.435649287743741807e-02 5.422686413409889639e+01
4.095305000000020641e+02 1.443191217140210245e-02 1.002550035581845265e+02
4.096305000000020868e+02 1.450756974027619418e-02 7.886924831352288834e+01
4.097305000000021096e+02 1.458350609021564007e-02 5.894068357583083895e+01
4.098305000000021323e+02 1.465972130568794426e-02 8.418605345983891652e+01
4.099305000000021550e+02 1.473623325565720510e-02 8.608844236916672799e+01
4.100305000000021778e+02 1.481302117550928853e-02 6.385505143891612789e+01
4.101305000000022005e+02 1.489011882824031567e-02 4.913486226663780343e+01
4.102305000000022233e+02 1.496755436279478650e-02 9.249666294895200735e+01
4.103305000000022460e+02 1.504524212319956547e-02 7.123135796655287777e+01
4.104305000000022687e+02 1.512323852439160371e-02 5.377578622304671541e+01
4.105305000000022915e+02 1.520159441104842676e-02 9.878922138857915058e+01
4.106305000000023142e+02 1.528021890900845003e-02 7.826168031493908472e+01
4.107305000000023369e+02 1.535917665871821582e-02 5.829014279314380076e+01
4.108305000000023597e+02 1.543844413372382277e-02 4.428459616763175433e+01
4.109305000000023824e+02 1.551819254795517439e-02 8.490394498256608813e+01
4.110305000000024052e+02 1.559823122937844045e-02 6.415296582468231179e+01
4.111305000000024279e+02 1.567864051599957703e-02 4.885545281860078859e+01
4.112305000000024506e+02 1.575948950135228413e-02 9.121159815998525744e+01
4.113305000000024734e+02 1.584065699463211435e-02 7.100610329752723260e+01
4.114305000000024961e+02 1.592222176556683938e-02 5.330881777434461100e+01
4.115305000000025188e+02 1.600424961734121451e-02 9.741866588277042638e+01
4.116305000000025416e+02 1.608663152080757816e-02 7.757366476240702013e+01
4.117305000000025643e+02 1.616942965241805613e-02 5.764646631179079606e+01
4.118305000000025871e+02 1.625270918317955893e-02 4.414652199472294569e+01
4.119305000000026098e+02 1.633651454505879314e-02 8.387488599165124015e+01
4.120305000000026325e+02 1.642067721715285977e-02 6.424776969587544784e+01
4.121305000000026553e+02 1.650529341186788082e-02 4.853299696065572277e+01
4.122305000000026780e+02 1.659044123587716593e-02 8.997227714306809787e+01
4.123305000000027007e+02 1.667597134934037731e-02 7.068198328853542023e+01
4.124305000000027235e+02 1.676196490571256817e-02 5.282748651288360264e+01
4.125305000000027462e+02 1.684836335977023258e-02 3.960125298284471285e+01
4.126305000000027690e+02 1.693545567754868933e-02 7.688062947758810139e+01
4.127305000000027917e+02 1.702291515229342050e-02 5.792902001088757657e+01
4.128305000000028144e+02 1.711085479292409964e-02 4.394075992125097230e+01
4.129305000000028372e+02 1.719936298688122187e-02 8.284597889395277548e+01
4.130305000000028599e+02 1.728825184112776567e-02 6.422126103907199024e+01
4.131305000000028826e+02 1.737762035897643526e-02 4.819431480335887841e+01
4.132305000000029054e+02 1.746754526935638194e-02 8.856468525076569165e+01
4.133305000000029281e+02 1.755786823192872700e-02 7.029297939116261773e+01
4.134305000000029509e+02 1.764866798847793475e-02 5.236272976383028777e+01
4.135305000000029736e+02 1.773996173809360560e-02 3.951135560008583525e+01
4.136305000000029963e+02 1.783187218702123392e-02 7.612708445991339090e+01
4.137305000000030191e+02 1.792414517000253879e-02 5.812042699468090490e+01
4.138305000000030418e+02 1.801689480211950828e-02 4.370846944595562888e+01
4.139305000000030645e+02 1.811020227485481832e-02 8.168252217016517136e+01
4.140305000000030873e+02 1.820388598367658067e-02 6.406307052547005298e+01
4.141305000000031100e+02 1.829803932928512900e-02 4.779395633479311556e+01
4.142305000000031328e+02 1.839262677943751326e-02 4.973562915204162493e+01
4.143305000000031555e+02 1.848780485514483346e-02 6.985897136974526234e+01
4.144305000000031782e+02 1.858339895834672240e-02 5.223653068357528184e+01
4.145305000000032010e+02 1.867945481038337310e-02 3.935076818132077392e+01
4.146305000000032237e+02 1.877605827018497681e-02 7.524661212706379843e+01
4.147305000000032464e+02 1.887302466724930655e-02 5.808293466794170001e+01
4.148305000000032692e+02 1.897045135426494306e-02 4.334732788938595860e+01
4.149305000000032919e+02 1.906840046443645381e-02 8.035375922005385974e+01
4.150305000000033147e+02 1.916672585669124476e-02 6.381773021537924251e+01
4.151305000000033374e+02 1.926550992933626083e-02 4.720685156935984850e+01
4.152305000000033601e+02 1.936472734000699997e-02 3.518836356673122623e+01
4.153305000000033829e+02 1.946454577097321906e-02 6.924578132472966274e+01
4.154305000000034056e+02 1.956471700876649678e-02 5.229714739726156836e+01
4.155305000000034283e+02 1.966533380074260082e-02 3.910135177376029247e+01
4.156305000000034511e+02 1.976646109816583910e-02 7.420737972945242689e+01
4.157305000000034738e+02 1.986795263089779703e-02 5.798933630731732336e+01
4.158305000000034966e+02 1.996989037614107718e-02 4.288539409891479437e+01
